Symbol,Name,Country,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,,Industrials,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,,Finance,Business Services
AAIC,Arlington Asset Investment Corp Class A (new),United States,Real Estate,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,United States,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,United States,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,United States,Finance,Finance/Investors Services
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,United States,,
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,United States,,
AAN,Aarons Holdings Company Inc. Common Stock ,,Consumer Discretionary,Diversified Commercial Services
AAP,Advance Auto Parts Inc.,United States,Consumer Discretionary,Auto & Home Supply Stores
AAT,American Assets Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,Finance,Investment Managers
ABB,ABB Ltd Common Stock,Switzerland,Energy,Electrical Products
ABBV,AbbVie Inc. Common Stock,United States,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,United States,Health Care,Other Pharmaceuticals
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,Consumer Discretionary,Other Specialty Stores
ABM,ABM Industries Incorporated Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States,,
ABT,Abbott Laboratories Common Stock,United States,Health Care,Medical/Dental Instruments
AC,Associated Capital Group Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,,Industrials,Engineering & Construction
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,,Industrials,Consumer Electronics/Appliances
ACCO,Acco Brands Corporation Common Stock,United States,Consumer Discretionary,Advertising
